Mon May  5 09:25:08 -10 2025 | GPU:  | CPU: CPU usage: 5.28% user, 10.16% sys, 84.55% idle 
Mon May  5 09:25:18 -10 2025 | GPU:  | CPU: CPU usage: 4.16% user, 8.75% sys, 87.8% idle 
Mon May  5 09:25:29 -10 2025 | GPU:  | CPU: CPU usage: 5.60% user, 10.0% sys, 84.40% idle 
Mon May  5 09:25:40 -10 2025 | GPU:  | CPU: CPU usage: 3.16% user, 8.69% sys, 88.14% idle 
Mon May  5 09:25:50 -10 2025 | GPU:  | CPU: CPU usage: 3.7% user, 9.61% sys, 87.30% idle 
Mon May  5 09:26:01 -10 2025 | GPU:  | CPU: CPU usage: 6.27% user, 10.58% sys, 83.13% idle 
Mon May  5 09:26:11 -10 2025 | GPU:  | CPU: CPU usage: 5.81% user, 10.46% sys, 83.72% idle 
Mon May  5 09:26:22 -10 2025 | GPU:  | CPU: CPU usage: 5.30% user, 10.60% sys, 84.9% idle 
Mon May  5 09:26:32 -10 2025 | GPU:  | CPU: CPU usage: 6.22% user, 14.39% sys, 79.37% idle 
Mon May  5 09:26:43 -10 2025 | GPU:  | CPU: CPU usage: 13.77% user, 12.20% sys, 74.1% idle 
Mon May  5 09:26:53 -10 2025 | GPU:  | CPU: CPU usage: 6.22% user, 10.50% sys, 83.26% idle 
Mon May  5 09:27:04 -10 2025 | GPU:  | CPU: CPU usage: 4.28% user, 9.72% sys, 85.99% idle 
Mon May  5 09:27:14 -10 2025 | GPU:  | CPU: CPU usage: 4.29% user, 9.76% sys, 85.93% idle 
Mon May  5 09:27:25 -10 2025 | GPU:  | CPU: CPU usage: 10.26% user, 15.58% sys, 74.14% idle 
Mon May  5 09:27:35 -10 2025 | GPU:  | CPU: CPU usage: 6.77% user, 9.32% sys, 83.89% idle 
Mon May  5 09:27:46 -10 2025 | GPU:  | CPU: CPU usage: 4.13% user, 9.50% sys, 86.36% idle 
Mon May  5 09:27:56 -10 2025 | GPU:  | CPU: CPU usage: 5.36% user, 9.96% sys, 84.67% idle 
Mon May  5 09:28:07 -10 2025 | GPU:  | CPU: CPU usage: 5.61% user, 10.48% sys, 83.89% idle 
Mon May  5 09:28:18 -10 2025 | GPU:  | CPU: CPU usage: 4.94% user, 10.26% sys, 84.79% idle 
Mon May  5 09:28:28 -10 2025 | GPU:  | CPU: CPU usage: 3.10% user, 9.68% sys, 87.20% idle 
Mon May  5 09:28:39 -10 2025 | GPU:  | CPU: CPU usage: 3.87% user, 8.91% sys, 87.20% idle 
Mon May  5 09:28:49 -10 2025 | GPU:  | CPU: CPU usage: 2.31% user, 9.26% sys, 88.41% idle 
Mon May  5 09:29:00 -10 2025 | GPU:  | CPU: CPU usage: 2.33% user, 9.72% sys, 87.93% idle 
Mon May  5 09:29:10 -10 2025 | GPU:  | CPU: CPU usage: 3.43% user, 10.30% sys, 86.25% idle 
Mon May  5 09:29:21 -10 2025 | GPU:  | CPU: CPU usage: 12.97% user, 10.68% sys, 76.33% idle 
Mon May  5 09:29:31 -10 2025 | GPU:  | CPU: CPU usage: 14.50% user, 10.30% sys, 75.19% idle 
Mon May  5 09:29:42 -10 2025 | GPU:  | CPU: CPU usage: 13.40% user, 16.9% sys, 70.49% idle 
Mon May  5 09:29:52 -10 2025 | GPU:  | CPU: CPU usage: 14.61% user, 11.53% sys, 73.84% idle 
